PWM,UL,UR,BL,BR
0.67,0,0,0,0
1.33,0,0,0,0
2.00,0,0,0,0
2.67,0,0,0,0
3.33,0,0,0,0
4.00,0,0,0,0
4.67,0,0,0,0
5.33,0,0,0,0
6.00,0,0,0,0
6.67,0,0,0,0
7.33,0,0,0,0
8.00,0,0,0,0
8.67,0,0,0,0
9.33,0,0,0,0
10.00,0,0,0,0
10.67,0,0,0,0
11.33,0,0,0,0
12.00,0,0,0,0
12.67,0,0,0,0
13.33,0,0,0,0
14.00,0,0,0,0
14.67,0,0,0,0
15.33,0,0,0,0
16.00,0,0,0,0
16.67,0,0,0,0
17.33,0,0,0,0
18.00,0,0,0,0
18.67,0,0,0,0
19.33,0,0,0,0
20.00,0,0,0,0
20.67,0,0,0,0
21.33,0,0,0,0
22.00,0,0,0,0
22.67,0,0,0,0
23.33,0,0,0,0
24.00,0,0,0,0
24.67,0,0,0,0
25.33,0,0,0,0
26.00,0,0,0,0
26.67,0,0,0,0
27.33,0,0,0,0
28.00,0,0,0,0
28.67,0,0,0,0
29.33,0,0,0,0
30.00,0,0,0,0
30.67,0,0,0,0
31.33,0,0,0,0
32.00,0,0,0,0
32.67,0,0,0,0
33.33,0,0,0,0
34.00,0,0,0,0
34.67,0,0,0,0
35.33,0,0,0,0
36.00,0,0,0,0
36.67,0,0,0,0
37.33,0,0,0,0
38.00,0,0,0,0
38.67,0,0,0,0
39.33,0,0,0,0
40.00,0,0,0,0
40.67,0,0,0,0
41.33,0,0,0,0
42.00,0,0,0,0
42.67,0,0,0,0
43.33,0,0,0,0
44.00,0,0,0,0
44.67,0,0,0,0
45.33,0,0,0,0
46.00,0,0,0,0
46.67,0,0,0,0
47.33,0,0,0,0
48.00,0,0,0,0
48.67,0,0,0,0
49.33,0,0,0,0
50.00,0,0,0,0
50.67,0,0,0,0
51.33,0,0,0,0
52.00,0,0,0,0
52.67,0,0,0,0
53.33,0,0,0,0
54.00,0,0,0,0
54.67,0,0,0,0
55.33,0,0,0,0
56.00,0,0,0,0
56.67,0,0,0,0
57.33,0,0,0,0
58.00,0,0,0,0
58.67,0,0,0,0
59.33,0,0,0,0
60.00,0,0,0,0
60.67,0,0,0,0
61.33,0,0,0,0
62.00,0,0,0,0
62.67,0,0,0,0
63.33,0,0,0,0
64.00,0,0,0,0
64.67,0,0,0,0
65.33,0,0,0,0
66.00,0,0,0,0
66.67,0,0,0,0
67.33,0,0,0,0
68.00,0,0,0,0
68.67,0,0,0,0
69.33,0,0,0,0
70.00,0,0,0,0
70.67,0,0,0,0
71.33,0,0,0,0
72.00,0,0,0,0
72.67,0,0,0,0
73.33,0,0,0,0
74.00,0,0,0,0
74.67,0,0,0,0
75.33,0,0,0,0
76.00,0,0,0,0
76.67,0,0,0,0
77.33,0,0,0,0
78.00,0,0,0,0
78.67,0,0,0,0
79.33,0,0,0,0
80.00,0,0,0,0
80.67,0,0,0,0
81.33,0,0,0,0
82.00,0,0,0,0
82.67,0,0,0,0
83.33,0,0,0,0
84.00,0,0,0,0
84.67,0,0,0,0
85.33,0,0,0,0
86.00,0,0,0,0
86.67,0,0,0,0
87.33,0,0,0,0
88.00,0,0,0,0
88.67,0,0,0,0
89.33,0,0,0,0
90.00,0,0,0,0
90.67,0,0,0,0
91.33,0,0,0,0
92.00,0,0,0,0
92.67,0,0,0,0
93.33,0,0,0,0
94.00,0,0,0,0
94.67,0,0,0,0
95.33,0,0,0,0
96.00,0,0,0,0
96.67,0,0,0,0
97.33,0,0,0,0
98.00,0,0,0,0
98.67,0,0,0,0
99.33,0,0,0,0
100.00,0,0,0,0
